CustomerID,Customer Category,Affiliation Date,Conversion Date
196338,Regular,4/12/2017,4/12/2017
186171,Key,4/13/2017,4/20/2017
186314,Regular,4/13/2017,4/26/2017
188037,Regular,4/13/2017,1/27/2018
185508,Key,4/17/2017,5/5/2017
188355,Regular,4/19/2017,4/19/2017
180157,Regular,4/20/2017,6/24/2017
179486,Regular,4/21/2017,3/23/2019
186979,Regular,4/21/2017,4/26/2017
184818,Regular,4/22/2017,3/9/2019
180383,Regular,4/25/2017,5/19/2017
181451,Key,4/25/2017,4/28/2017
189365,Regular,4/25/2017,5/17/2017
189366,Regular,4/26/2017,6/9/2017
182322,Regular,4/26/2017,4/30/2017
185250,Regular,4/28/2017,5/18/2017
187027,Regular,4/28/2017,6/9/2017
182444,Regular,4/28/2017,5/3/2017
187420,Regular,5/4/2017,5/4/2017
187236,Key,5/4/2017,5/10/2017
185172,Regular,5/4/2017,6/7/2019
183502,Regular,5/5/2017,7/5/2017
202466,Regular,5/8/2017,10/20/2017
181569,Regular,5/9/2017,7/22/2019
185091,Key,5/11/2017,10/27/2017
181277,Regular,5/11/2017,5/12/2017
187545,Regular,5/12/2017,5/15/2017
184572,Regular,5/12/2017,5/15/2018
181105,Regular,5/16/2017,5/18/2017
203191,Regular,5/18/2017,11/7/2017
104254,Regular,5/23/2017,7/17/2019
204943,Regular,5/24/2017,5/25/2017
187099,Regular,5/24/2017,5/27/2017
188197,Regular,5/27/2017,1/15/2019
181621,Regular,5/27/2017,6/5/2017
187235,Regular,5/27/2017,6/1/2017
181109,Regular,5/30/2017,6/8/2017
206723,Regular,5/30/2017,2/27/2019
179276,Regular,5/31/2017,5/31/2017
206758,Regular,5/31/2017,6/21/2017
188819,Regular,6/2/2017,6/3/2017
180225,Regular,6/5/2017,5/24/2018
186668,Key,6/5/2017,6/6/2017
187412,Regular,6/5/2017,6/17/2017
206702,Regular,6/5/2017,6/10/2017
208252,Regular,6/5/2017,7/15/2017
182198,Regular,6/5/2017,6/12/2017
188712,Regular,6/5/2017,9/15/2018
185578,Regular,6/6/2017,6/10/2017
182350,Key,6/7/2017,6/7/2017
105302,Key,6/7/2017,12/18/2018
179551,Regular,6/7/2017,8/5/2017
182876,Regular,6/7/2017,6/9/2017
99497,Regular,6/7/2017,6/15/2017
186356,Regular,6/8/2017,6/8/2017
209140,Regular,6/8/2017,6/16/2017
209438,Regular,6/9/2017,6/16/2017
185315,Regular,6/9/2017,6/17/2017
210315,Regular,6/12/2017,6/17/2017
189247,Regular,6/12/2017,3/15/2018
184396,Regular,6/13/2017,6/16/2017
186490,Regular,6/13/2017,6/16/2017
179305,Regular,6/15/2017,6/17/2017
183216,Regular,6/15/2017,7/8/2017
210954,Regular,6/16/2017,6/20/2017
211471,Key,6/16/2017,6/29/2017
187629,Regular,6/16/2017,7/1/2017
99692,Regular,6/16/2017,12/22/2017
187857,Regular,6/18/2017,11/8/2017
181857,Regular,6/19/2017,7/18/2017
179788,Regular,6/19/2017,6/20/2017
184885,Regular,6/19/2017,6/22/2017
212442,Regular,6/19/2017,9/11/2017
184208,Regular,6/20/2017,6/24/2017
181544,Regular,6/21/2017,2/9/2019
213002,Regular,6/21/2017,9/6/2017
187183,Regular,6/23/2017,12/9/2017
187210,Regular,6/23/2017,6/28/2017
213483,Regular,6/23/2017,6/29/2017
183590,Regular,6/26/2017,6/27/2017
180862,Regular,6/27/2017,7/8/2017
182015,Regular,6/28/2017,7/1/2017
182185,Regular,6/28/2017,7/6/2017
182933,Regular,6/28/2017,3/3/2018
179143,Regular,6/29/2017,6/30/2017
182945,Regular,6/29/2017,7/12/2017
100859,Regular,6/30/2017,7/6/2017
182417,Regular,6/30/2017,7/1/2017
186794,Regular,6/30/2017,7/6/2017
184933,Regular,6/30/2017,7/14/2017
213834,Regular,6/30/2017,7/18/2017
212715,Regular,6/30/2017,7/7/2017
105313,Regular,7/3/2017,7/7/2017
216851,Regular,7/4/2017,7/18/2017
179787,Regular,7/4/2017,7/5/2017
184491,Regular,7/5/2017,7/25/2017
228388,Regular,7/6/2017,12/19/2017
186530,Regular,7/8/2017,7/11/2017
184102,Regular,7/8/2017,7/11/2017
187075,Regular,7/10/2017,7/11/2017
188362,Regular,7/12/2017,7/17/2017
180494,Regular,7/13/2017,7/17/2017
229234,Regular,7/13/2017,9/6/2017
185730,Regular,7/14/2017,7/28/2017
183635,Regular,7/15/2017,7/21/2017
185390,Regular,7/15/2017,7/19/2017
181309,Regular,7/15/2017,7/21/2017
187126,Regular,7/17/2017,7/18/2017
184035,Key,7/18/2017,7/25/2017
186353,Key,7/18/2017,7/19/2017
228605,Regular,7/18/2017,7/19/2017
186019,Regular,7/19/2017,6/12/2018
190962,Regular,7/19/2017,2/14/2019
229842,Regular,7/19/2017,7/27/2017
105137,Regular,7/20/2017,7/29/2017
187523,Regular,7/20/2017,8/2/2017
186705,Regular,7/25/2017,9/15/2017
179840,Regular,7/26/2017,7/28/2017
183929,Regular,7/26/2017,10/23/2018
180082,Regular,7/28/2017,8/10/2018
230825,Regular,7/28/2017,8/26/2017
230827,Regular,7/28/2017,9/13/2018
229652,Regular,7/31/2017,8/1/2017
185318,Regular,8/2/2017,8/5/2017
186858,Regular,8/4/2017,7/25/2019
188163,Regular,8/4/2017,8/9/2017
185576,Regular,8/9/2017,2/12/2018
228552,Regular,8/9/2017,11/20/2018
230861,Regular,8/9/2017,8/31/2017
180528,Regular,8/9/2017,8/18/2017
229671,Regular,8/9/2017,10/12/2017
230886,Regular,8/9/2017,8/10/2017
228672,Regular,8/10/2017,8/11/2017
178934,Regular,8/10/2017,8/11/2017
188890,Regular,8/12/2017,9/9/2017
182338,Regular,8/14/2017,11/8/2017
187042,Regular,8/14/2017,8/30/2018
229885,Regular,8/16/2017,8/16/2017
232218,Regular,8/18/2017,8/23/2017
232219,Regular,8/18/2017,11/7/2017
183125,Regular,8/18/2017,11/13/2017
183904,Regular,8/18/2017,8/26/2017
232232,Regular,8/21/2017,9/11/2017
181385,Regular,8/22/2017,9/13/2017
233751,Regular,8/24/2017,9/7/2017
228750,Regular,8/28/2017,9/2/2017
187621,Regular,8/29/2017,8/30/2017
100038,Regular,8/30/2017,9/13/2017
180096,Regular,8/30/2017,12/13/2017
234106,Regular,8/31/2017,10/23/2018
184342,Regular,9/4/2017,9/21/2017
182006,Regular,9/6/2017,9/25/2017
184652,Regular,9/8/2017,9/13/2017
186394,Key,9/9/2017,9/9/2017
184736,Regular,9/9/2017,9/27/2017
228385,Regular,9/11/2017,11/21/2017
186700,Regular,9/12/2017,9/27/2017
234632,Regular,9/13/2017,2/16/2018
184976,Regular,9/14/2017,9/27/2017
180935,Regular,9/18/2017,9/23/2017
181331,Regular,9/28/2017,9/29/2017
187377,Regular,10/2/2017,10/24/2017
181214,Regular,10/5/2017,10/19/2017
234758,Regular,10/5/2017,10/6/2017
189125,Regular,10/9/2017,7/4/2018
235936,Regular,10/10/2017,11/21/2017
187132,Regular,10/11/2017,10/21/2017
180230,Regular,10/12/2017,10/20/2017
228667,Regular,10/17/2017,10/17/2017
185680,Regular,10/17/2017,10/18/2017
184958,Regular,10/23/2017,4/25/2018
186893,Regular,10/23/2017,10/24/2017
236198,Regular,10/24/2017,11/1/2017
179920,Key,10/25/2017,9/15/2018
236208,Key,10/25/2017,10/31/2017
181736,Regular,10/26/2017,11/16/2017
187489,Regular,10/27/2017,11/10/2017
228277,Regular,10/28/2017,10/28/2017
182699,Key,10/31/2017,11/1/2017
237840,Key,11/1/2017,11/1/2017
237901,Regular,11/9/2017,11/9/2017
187195,Regular,11/9/2017,11/10/2017
237847,Regular,11/16/2017,11/17/2017
183200,Regular,11/16/2017,11/17/2017
237980,Regular,11/16/2017,12/20/2017
227424,Regular,11/17/2017,11/18/2017
239432,Key,11/22/2017,12/9/2017
241976,Key,11/22/2017,12/16/2017
244529,Regular,11/23/2017,1/5/2018
240119,Regular,11/23/2017,5/15/2018
238501,Regular,11/24/2017,12/8/2017
239514,Key,11/24/2017,12/6/2017
242858,Regular,11/24/2017,12/16/2017
239496,Regular,11/24/2017,12/16/2017
241865,Regular,11/24/2017,12/20/2017
238681,Regular,11/25/2017,12/6/2017
248528,Regular,11/27/2017,12/8/2017
248532,Regular,11/27/2017,12/21/2017
242011,Regular,11/27/2017,11/1/2018
238310,Regular,11/28/2017,12/19/2017
238757,Regular,11/28/2017,12/9/2017
238467,Regular,11/28/2017,12/9/2017
238622,Regular,11/28/2017,12/6/2017
242622,Regular,11/28/2017,12/11/2017
242102,Regular,11/29/2017,12/7/2017
239500,Regular,11/30/2017,12/8/2017
241765,Regular,11/30/2017,12/6/2017
248562,Regular,12/1/2017,12/9/2017
104503,Key,12/1/2017,12/2/2017
242777,Regular,12/4/2017,12/8/2017
242937,Key,12/5/2017,1/12/2018
243477,Regular,12/5/2017,4/21/2018
186884,Regular,12/6/2017,12/7/2017
242069,Regular,12/6/2017,12/7/2017
252466,Regular,12/7/2017,12/8/2017
181475,Key,12/7/2017,12/8/2017
252476,Regular,12/7/2017,12/7/2017
242614,Regular,12/7/2017,12/8/2017
186574,Regular,12/7/2017,12/8/2017
238339,Regular,12/7/2017,12/22/2017
